Treatment,Colony,BeeID,Trial,nL,nR,nSwitch
Ratio5,Colony5_62,Colony5_62Rep1,1,14,8,7
Ratio5,Colony5_62,Colony5_62Rep1,2,7,3,3
Ratio5,Colony5_62,Colony5_62Rep1,3,5,4,4
Ratio5,Colony5_62,Colony5_62Rep1,4,4,5,5
Ratio5,Colony5_62,Colony5_62Rep1,5,13,8,13
Ratio5,Colony5_62,Colony5_62Rep1,6,19,7,10
Ratio5,Colony5_62,Colony5_62Rep1,7,11,0,0
Ratio5,Colony5_62,Colony5_62Rep1,8,10,0,0
Ratio5,Colony5_62,Colony5_62Rep2,1,9,5,7
Ratio5,Colony5_62,Colony5_62Rep2,2,5,4,1
Ratio5,Colony5_62,Colony5_62Rep2,3,8,2,4
Ratio5,Colony5_62,Colony5_62Rep2,4,9,1,1
Ratio5,Colony5_62,Colony5_62Rep2,5,7,2,1
Ratio5,Colony5_62,Colony5_62Rep2,6,11,1,2
Ratio5,Colony5_62,Colony5_62Rep2,7,9,3,2
Ratio5,Colony5_62,Colony5_62Rep2,8,8,1,1
Ratio5,Colony5_62,Colony5_62Rep3,1,12,24,13
Ratio5,Colony5_62,Colony5_62Rep3,2,4,2,3
Ratio5,Colony5_62,Colony5_62Rep3,3,11,18,11
Ratio5,Colony5_62,Colony5_62Rep3,4,5,5,5
Ratio5,Colony5_62,Colony5_62Rep3,5,10,5,5
Ratio5,Colony5_62,Colony5_62Rep3,6,17,4,5
Ratio5,Colony5_62,Colony5_62Rep3,7,16,5,8
Ratio5,Colony5_62,Colony5_62Rep3,8,19,15,21
Ratio5,Colony5_62,Colony5_62Rep4,1,11,16,11
Ratio5,Colony5_62,Colony5_62Rep4,2,10,2,4
Ratio5,Colony5_62,Colony5_62Rep4,3,12,4,8
Ratio5,Colony5_62,Colony5_62Rep4,4,12,3,2
Ratio5,Colony5_62,Colony5_62Rep4,5,11,1,2
Ratio5,Colony5_62,Colony5_62Rep4,6,7,2,2
Ratio5,Colony5_62,Colony5_62Rep4,7,7,4,3
Ratio5,Colony5_62,Colony5_62Rep4,8,17,23,18
Ratio5,Colony5_62,Colony5_62Rep5,1,12,2,3
Ratio5,Colony5_62,Colony5_62Rep5,2,24,6,7
Ratio5,Colony5_62,Colony5_62Rep5,3,14,7,5
Ratio5,Colony5_62,Colony5_62Rep5,4,10,8,6
Ratio5,Colony5_62,Colony5_62Rep5,5,5,16,8
Ratio5,Colony5_62,Colony5_62Rep5,6,3,7,6
Ratio5,Colony5_62,Colony5_62Rep5,7,1,15,2
Ratio5,Colony5_62,Colony5_62Rep5,8,1,13,2
Ratio5,Colony5_62,Colony5_62Rep6,1,14,11,10
Ratio5,Colony5_62,Colony5_62Rep6,2,6,8,6
Ratio5,Colony5_62,Colony5_62Rep6,3,4,10,2
Ratio5,Colony5_62,Colony5_62Rep6,4,8,9,8
Ratio5,Colony5_62,Colony5_62Rep6,5,11,11,6
Ratio5,Colony5_62,Colony5_62Rep6,6,6,5,5
Ratio5,Colony5_62,Colony5_62Rep6,7,9,10,9
Ratio5,Colony5_62,Colony5_62Rep6,8,10,5,5
