Treatment,ColonyID,TestingDate,BeeID,Trial number,Visit01,Visit02,Visit03,Visit04,Visit05,Visit06,Visit07,Visit08,Visit09,Visit10,Visit11,Visit12,Visit13,Visit14,Visit15,Visit16,Visit17,Visit18,Visit19,Visit20,Visit21,Visit22,Visit23,Visit24,Visit25,Visit26,Visit27,Visit28,Visit29,Visit30,Visit31,Visit32,Visit33,Visit34,Visit35,Visit36,Visit37,Visit38,Visit39,Visit40,Visit41,Visit42,Visit43,Visit44,Visit45,Visit46,Visit47,Visit48,Visit49,Visit50,Visit51,Visit52,Visit53,Visit54,Visit55,Visit56,Visit57,Visit58,Visit59,Visit60,NumDistinctArms,RowRelativeNumber,TotalArms,NumSame,NumReward,NumRevisited,NumTurnsL1,NumTurnsL2,NumTurnsL3,NumTurnsR1,NumTurnsR2,NumTurnsR3,NumTurns4,NumReentries0,Total1s,Total 2s,Total 3s,Prop 1s,Prop 2s,Prop 3s,PropO4,PropOS,FirstMistake,NumSwitches,TotalL,TotalR,TotalLorR,Change direction prop,Proportion R,Prop R bias,Prop side bias,Num not reach feeder 9,Num reach feeder 9,Season,New or Used floor,EmergenceDate,AgeDays,AgeRelativeToColony
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,7,5,7,4,6,1,3,6,8,7,1,5,7,1,1,5,7,3,8,6,8,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,22,1,8,13,0,9,3,2,1,2,3,1,2,10,5,0.0952380952,0.4761904762,0.2380952381,0.1428571429,0.0476190476,7,8,12,5,17,0.5,0.2941176471,-0.205882353,0.2058823529,,,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,7,10.253269,10.194068,11.594409,10.251748,11.002284,11.74529,11.393085,10.758094,10.290444,11.393188,11.389697,9.802195,11.48052,5.153351,10.949948,8.129519,11.469597,11.354559,11.670152,11.083094,11.511142,10.215615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,7,Reward,Reward,Reward,Reward,Reward,Reward,Previsited,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Same,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,7,,L2,R3,L2,L3,L2,L3,L2,R1,L2,O4,L2,L2,S0,O4,L2,O4,R3,R2,L2,R1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,8,8,2,4,7,2,8,4,7,3,7,2,5,8,3,7,3,1,5,2,4,7,4,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,25,0,8,17,0,3,8,2,2,2,7,0,2,5,10,0.0833333333,0.2083333333,0.4166666667,0.2916666667,0,5,5,11,6,17,0.3125,0.3529411765,-0.147058824,0.1470588235,,,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,8,11.472061,9.935871,9.875657,11.713765,9.479669,11.617972,9.872814,8.433528,11.212522,11.675212,11.186903,11.141647,8.826053,10.23544,9.308253,9.633625,11.237355,10.699063,9.522097,11.294211,11.811521,9.333599,9.980032,9.956958,10.370749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,23,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,8,Reward,Reward,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Reward,Previsited,Previsited,Reward,Previsited,Previsited,Previsited,Previsited,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-11,9Rep4,8,,L2,L2,L3,L3,R2,O4,L3,O4,O4,L3,L3,L3,L3,O4,O4,R2,O4,R3,L2,L3,R3,R1,R1,O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,,2022-04-18,23,-0.166666667
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,1,2,3,1,2,7,6,8,7,5,8,3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,13,0,8,5,2,1,2,2,2,2,1,0,4,3,4,0.3333333333,0.25,0.3333333333,0.0833333333,0,4,7,5,6,11,0.7,0.5454545455,0.0454545455,0.0454545455,,,Spring,,2022-04-18,24,0.8333333333
Unbalanced,Unbalanced_Colony09,2022-05-12,9Rep5,1,11.473828,11.337654,11.826249,11.70992,11.718956,11.460127,11.898288,11.363723,11.421417,11.696896,11.724061,11.667011,10.820063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,Spring,,2022-04-18,24,0.8333333333
