Treatment,ColonyID,TestingDate,BeeID,Trial number,Finish time (s),Total distance (cm),New or Used,Notes
OdorControl,OdorControl_Outdoors,15_08_2022,ColonyOutdoorsBee6,8,109.34,304.591759,Used,
OdorControl,OdorControl_Outdoors,15_08_2022,ColonyOutdoorsBee6,9,79.82,203.483761,New,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,1,158.9,510.612398,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,2,131.02,480.333909,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,3,75.54,191.47813,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,4,123.2,499.287783,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,5,93.08,377.397297,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,6,101.26,402.2197,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,7,95.04,398.265651,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,8,92.88,257.409247,New,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee7,9,99.34,324.541997,Used,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,1,146.36,559.586061,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,2,77.94,210.743304,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,3,89.14,293.629604,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,4,101.74,366.574161,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,5,116.58,429.173042,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,6,72.12,195.985411,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,7,81.8,261.485677,,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,8,147.98,646.300964,Used,
OdorControl,OdorControl_Outdoors,17_08_2022,ColonyOutdoorsBee8,9,119.72,507.212773,New,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,1,229.38,517.535481,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,2,181.58,367.122911,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,3,122.52,271.100058,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,4,139.2,299.58902,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,5,146.08,382.512596,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,6,107.52,223.101409,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,7,133.84,310.219751,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,8,102.28,175.13037,New,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee9,9,133.98,301.676595,Used,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,1,171.66,331.610615,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,2,118.8,201.347714,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,3,121.44,184.660813,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,4,141.48,228.820669,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,5,98.46,144.632107,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,6,110.64,184.715454,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,7,135.88,218.794224,,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,8,112.46,145.808958,Used,
OdorControl,OdorControl_Outdoors,21_08_2022,ColonyOutdoorsBee10,9,139.16,248.915651,New,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,1,119.4,417.288325,,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,2,92.16,334.964323,,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,3,90.54,330.863248,,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,4,177.78,710.363305,,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,5,71.9,220.947482,,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,6,86.46,278.238332,,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,7,75.82,224.727653,,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,8,166.4,624.983752,New,
OdorControl,OdorControl_Outdoors,22_08_2022,ColonyOutdoorsBee11,9,82.64,239.282699,Used,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,1,167.22,512.555647,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,2,82.88,269.018601,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,3,154.44,620.496073,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,4,136.06,443.437036,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,5,80.06,195.19016,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,6,110.86,427.679389,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,7,69.3,202.468238,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,8,56.66,150.60318,Used,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee12,9,72.06,245.567068,New,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,1,140.1,403.043008,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,2,92.52,238.084831,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,3,104.12,365.923612,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,4,87.34,253.4975,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,5,123.02,465.963462,,
OdorControl,OdorControl_Outdoors,24_08_2022,ColonyOutdoorsBee13,6,109.48,396.36939,,
