Treatment,Colony,BeeID,Trial,n1Switch,nTotalSwitch
Ratio1,Colony2_39,Colony2_39Rep6,5,5,16
Ratio1,Colony2_39,Colony2_39Rep6,6,2,10
Ratio1,Colony2_39,Colony2_39Rep6,7,8,26
Ratio1,Colony2_39,Colony2_39Rep6,8,6,17
Ratio1,Colony3_807,Colony3_807Rep1,1,2,12
Ratio1,Colony3_807,Colony3_807Rep1,2,5,9
Ratio1,Colony3_807,Colony3_807Rep1,3,8,25
Ratio1,Colony3_807,Colony3_807Rep1,4,8,20
Ratio1,Colony3_807,Colony3_807Rep1,5,12,40
Ratio1,Colony3_807,Colony3_807Rep1,6,7,22
Ratio1,Colony3_807,Colony3_807Rep1,7,5,17
Ratio1,Colony3_807,Colony3_807Rep1,8,9,27
Ratio1,Colony3_807,Colony3_807Rep2,1,8,25
Ratio1,Colony3_807,Colony3_807Rep2,2,3,9
Ratio1,Colony3_807,Colony3_807Rep2,3,5,17
Ratio1,Colony3_807,Colony3_807Rep2,4,3,7
Ratio1,Colony3_807,Colony3_807Rep2,5,3,17
Ratio1,Colony3_807,Colony3_807Rep2,6,6,20
Ratio1,Colony3_807,Colony3_807Rep2,7,9,36
Ratio1,Colony3_807,Colony3_807Rep2,8,2,12
Ratio1,Colony3_807,Colony3_807Rep3,1,0,17
Ratio1,Colony3_807,Colony3_807Rep3,2,1,17
Ratio1,Colony3_807,Colony3_807Rep3,3,1,10
Ratio1,Colony3_807,Colony3_807Rep3,4,0,15
Ratio1,Colony3_807,Colony3_807Rep3,5,0,27
Ratio1,Colony3_807,Colony3_807Rep3,6,1,27
Ratio1,Colony3_807,Colony3_807Rep3,7,2,14
Ratio1,Colony3_807,Colony3_807Rep3,8,0,12
Ratio1,Colony3_807,Colony3_807Rep4,1,11,29
Ratio1,Colony3_807,Colony3_807Rep4,2,2,16
Ratio1,Colony3_807,Colony3_807Rep4,3,8,27
Ratio1,Colony3_807,Colony3_807Rep4,4,6,16
Ratio1,Colony3_807,Colony3_807Rep4,5,5,14
Ratio1,Colony3_807,Colony3_807Rep4,6,5,17
Ratio1,Colony3_807,Colony3_807Rep4,7,9,19
Ratio1,Colony3_807,Colony3_807Rep4,8,2,11
Ratio1,Colony3_807,Colony3_807Rep5,1,2,9
Ratio1,Colony3_807,Colony3_807Rep5,2,4,21
Ratio1,Colony3_807,Colony3_807Rep5,3,4,18
Ratio1,Colony3_807,Colony3_807Rep5,4,2,16
Ratio1,Colony3_807,Colony3_807Rep5,5,2,17
Ratio1,Colony3_807,Colony3_807Rep5,6,1,32
Ratio1,Colony3_807,Colony3_807Rep5,7,4,19
Ratio1,Colony3_807,Colony3_807Rep5,8,3,11
Ratio1,Colony3_807,Colony3_807Rep6,1,0,11
Ratio1,Colony3_807,Colony3_807Rep6,2,0,24
Ratio1,Colony3_807,Colony3_807Rep6,3,1,11
Ratio1,Colony3_807,Colony3_807Rep6,4,6,15
Ratio1,Colony3_807,Colony3_807Rep6,5,7,15
Ratio1,Colony3_807,Colony3_807Rep6,6,5,7
Ratio1,Colony3_807,Colony3_807Rep6,7,8,11
Ratio1,Colony3_807,Colony3_807Rep6,8,10,20
Ratio1,Colony4_42,Colony4_42Rep1,1,4,25
Ratio1,Colony4_42,Colony4_42Rep1,2,5,23
Ratio1,Colony4_42,Colony4_42Rep1,3,3,35
Ratio1,Colony4_42,Colony4_42Rep1,4,4,35
Ratio1,Colony4_42,Colony4_42Rep1,5,2,16
Ratio1,Colony4_42,Colony4_42Rep1,6,2,13
Ratio1,Colony4_42,Colony4_42Rep1,7,2,15
Ratio1,Colony4_42,Colony4_42Rep1,8,4,21
Ratio1,Colony4_42,Colony4_42Rep2,1,2,24
Ratio1,Colony4_42,Colony4_42Rep2,2,5,20
Ratio1,Colony4_42,Colony4_42Rep2,3,4,27
Ratio1,Colony4_42,Colony4_42Rep2,4,5,9
Ratio1,Colony4_42,Colony4_42Rep2,5,6,10
Ratio1,Colony4_42,Colony4_42Rep2,6,5,7
Ratio1,Colony4_42,Colony4_42Rep2,7,6,8
Ratio1,Colony4_42,Colony4_42Rep2,8,4,9
Ratio1,Colony4_42,Colony4_42Rep3,1,5,15
Ratio1,Colony4_42,Colony4_42Rep3,2,5,11
Ratio1,Colony4_42,Colony4_42Rep3,3,8,10
Ratio1,Colony4_42,Colony4_42Rep3,4,12,25
Ratio1,Colony4_42,Colony4_42Rep3,5,8,11
Ratio1,Colony4_42,Colony4_42Rep3,6,9,12
Ratio1,Colony4_42,Colony4_42Rep3,7,8,15
Ratio1,Colony4_42,Colony4_42Rep3,8,7,9
Ratio1,Colony4_42,Colony4_42Rep4,1,4,15
Ratio1,Colony4_42,Colony4_42Rep4,2,8,39
Ratio1,Colony4_42,Colony4_42Rep4,3,7,28
Ratio1,Colony4_42,Colony4_42Rep4,4,4,22
Ratio1,Colony4_42,Colony4_42Rep4,5,2,15
Ratio1,Colony4_42,Colony4_42Rep4,6,3,10
Ratio1,Colony4_42,Colony4_42Rep4,7,6,29
Ratio1,Colony4_42,Colony4_42Rep4,8,4,23
Ratio1,Colony4_42,Colony4_42Rep5,1,8,25
Ratio1,Colony4_42,Colony4_42Rep5,2,3,21
Ratio1,Colony4_42,Colony4_42Rep5,3,7,12
Ratio1,Colony4_42,Colony4_42Rep5,4,1,14
Ratio1,Colony4_42,Colony4_42Rep5,5,0,11
Ratio1,Colony4_42,Colony4_42Rep5,6,7,11
Ratio1,Colony4_42,Colony4_42Rep5,7,5,19
Ratio1,Colony4_42,Colony4_42Rep5,8,7,17
Ratio1,Colony4_42,Colony4_42Rep6,1,3,12
Ratio1,Colony4_42,Colony4_42Rep6,2,0,13
Ratio1,Colony4_42,Colony4_42Rep6,3,5,31
Ratio1,Colony4_42,Colony4_42Rep6,4,1,13
Ratio1,Colony4_42,Colony4_42Rep6,5,3,16
Ratio1,Colony4_42,Colony4_42Rep6,6,2,16
Ratio1,Colony4_42,Colony4_42Rep6,7,2,18
Ratio1,Colony4_42,Colony4_42Rep6,8,0,17
Ratio1,Colony5_40,Colony5_40Rep1,1,1,18
Ratio1,Colony5_40,Colony5_40Rep1,2,2,17
Ratio1,Colony5_40,Colony5_40Rep1,3,4,28
Ratio1,Colony5_40,Colony5_40Rep1,4,4,18
Ratio1,Colony5_40,Colony5_40Rep1,5,3,13
Ratio1,Colony5_40,Colony5_40Rep1,6,4,14
Ratio1,Colony5_40,Colony5_40Rep1,7,1,19
Ratio1,Colony5_40,Colony5_40Rep1,8,3,21
Ratio1,Colony5_40,Colony5_40Rep2,1,2,14
Ratio1,Colony5_40,Colony5_40Rep2,2,2,12
Ratio1,Colony5_40,Colony5_40Rep2,3,3,13
