p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.25,0.18,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.078,0.08362072741406078,4.961375,0.016056116078610547,1.0,0.005875,8000,1.2805328444513824
0.25,0.19,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.247375,0.08422664716218613,4.973125,0.015969336844771694,1.0,0.006875,8000,1.2843715078314855
0.25,0.2,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.27275,0.08473878104099704,4.949125,0.016125665767152974,1.0,0.006,8000,1.2849436879099436
0.25,0.21,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.309125,0.08573864199495036,4.991375,0.016220410410532488,1.0,0.00675,8000,1.285762594013386
0.25,0.22,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.22025,0.08476248036098942,4.948875,0.016264515704617927,1.0,0.0075,8000,1.283759032287488
0.25,0.23,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.23525,0.08639380860894051,4.93375,0.016011196457135817,1.0,0.005625,8000,1.2840978351926087
0.25,0.24,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.35675,0.08628472090306698,4.9405,0.016017437015205242,1.0,0.00725,8000,1.2868324410120735
0.25,0.25,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.216625,0.08449100347007542,4.929,0.016453456005557487,1.0,0.0065,8000,1.283677115248105
0.25,0.26,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.4365,0.08536283190232034,4.9195,0.016380392498572826,1.0,0.00675,8000,1.2886180626716792
0.25,0.27,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.306,0.08445671741868518,4.933875,0.016087694436615542,1.0,0.006625,8000,1.2856923018540878
0.25,0.28,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.419625,0.08671004735012436,4.90875,0.016160076521992386,1.0,0.00475,8000,1.2882408392690432
0.25,0.29,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.451625,0.08568419606382359,4.907875,0.01618988919390398,1.0,0.005375,8000,1.2889558883894277
0.25,0.3,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.35325,0.08766352529071483,4.9165,0.016149839656018707,1.0,0.006875,8000,1.2867539067475007
0.25,0.31,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.49375,0.08566800011070569,4.86425,0.016115138981732367,1.0,0.004875,8000,1.289895392101219
